author,commits,prs,comments,reviews,raw_score,score,tier,overall_rank,tier_rank,percentile
potiuk,0,5249,10408,352,74362,100,core,1,1,100.0
kaxil,3,2044,5540,12,31571,100,core,2,2,99.99
ashb,0,1020,8045,5,26305,100,core,3,3,99.98
Jarek Potiuk,4505,0,0,0,22525,100,core,4,4,99.96
uranusjr,0,712,6484,110,20418,100,core,5,5,99.95
jedcunningham,0,853,4296,66,17320,100,core,6,6,99.94
mik-laj,0,930,3523,1,16349,100,core,7,7,99.93
amoghrajesh,0,881,3269,24,15420,100,core,8,8,99.92
dstandish,38,786,2942,41,14057,100,core,9,9,99.91
eladkal,275,691,2572,159,13906,100,core,10,10,99.89
ephraimbuddy,0,830,2446,37,13303,100,core,11,11,99.88
pierrejeambrun,47,617,2719,8,11867,100,core,12,12,99.87
jscheffl,0,747,2011,25,11567,100,core,13,13,99.86
Lee-W,0,511,2905,59,11097,100,core,14,14,99.85
vincbeck,13,572,2307,72,10615,100,core,15,15,99.84
dependabot[bot],282,911,0,0,10520,100,core,16,16,99.82
Taragolis,0,581,1894,163,10087,100,core,17,17,99.81
bbovenzi,0,624,1645,19,9587,100,core,18,18,99.8
Kaxil Naik,1908,0,0,0,9540,100,core,19,19,99.79
github-actions[bot],0,920,0,0,9200,100,core,20,20,99.78
turbaszek,0,391,2208,3,8335,100,core,21,21,99.77
Maxime Beauchemin,1334,0,0,0,6670,100,core,22,22,99.75
hussein-awala,0,408,774,106,5946,100,core,23,23,99.74
o-nikolas,1,221,1814,32,5939,100,core,24,24,99.73
ferruzzi,0,235,1690,24,5802,100,core,25,25,99.72
gopidesupavan,3,438,603,0,5601,100,core,26,26,99.71
Ash Berlin-Taylor,929,0,0,0,4645,100,core,27,27,99.7
josh-fell,23,213,1035,10,4345,100,core,28,28,99.68
Kamil Breguła,821,0,0,0,4105,100,core,29,29,99.67
Jed Cunningham,782,0,0,0,3910,100,core,30,30,99.66
Amogh Desai,778,0,0,0,3890,100,core,31,31,99.65
sunank200,0,171,904,15,3563,100,core,32,32,99.64
bugraoz93,0,227,633,0,3536,100,core,33,33,99.63
jason810496,0,157,980,0,3530,100,core,34,34,99.61
bolkedebruin,100,223,281,17,3343,100,core,35,35,99.6
shahar1,0,185,683,9,3243,100,core,36,36,99.59
Ephraim Anierobi,635,0,0,0,3175,100,core,37,37,99.58
Tzu-ping Chung,620,0,0,0,3100,100,core,38,38,99.57
Daniel Standish,618,0,0,0,3090,100,core,39,39,99.55
feluelle,0,109,989,0,3068,100,core,40,40,99.54
Jens Scheffler,596,0,0,0,2980,100,core,41,41,99.53
rawwar,0,209,408,5,2921,100,core,42,42,99.52
XD-DENG,6,212,375,0,2900,100,core,43,43,99.5
Brent Bovenzi,580,0,0,0,2900,100,core,43,43,99.5
vatsrahul1001,70,162,458,1,2889,100,core,45,45,99.48
kacpermuda,0,200,353,22,2772,100,core,46,46,99.47
Andrey Anshin,536,0,0,0,2680,100,core,47,47,99.46
utkarsharma2,0,152,522,20,2624,100,core,48,48,99.45
Vincent,507,0,0,0,2535,100,core,49,49,99.44
dimberman,2,169,403,0,2506,100,core,50,50,99.43
guan404ming,0,178,342,0,2464,100,core,51,51,99.41
mistercrunch,0,237,0,0,2370,100,core,52,52,99.4
tirkarthi,0,179,255,4,2312,100,core,53,53,99.39
Pierre Jeambrun,459,0,0,0,2295,100,core,54,54,99.38
BasPH,26,137,386,0,2272,100,core,55,55,99.37
pankajkoti,0,84,605,59,2227,100,core,56,56,99.36
pankajastro,4,112,462,44,2196,100,core,57,57,99.34
Bolke de Bruin,436,0,0,0,2180,100,core,58,58,99.33
VladaZakharova,101,108,271,5,2142,100,core,59,59,99.32
dirrao,2,144,194,95,2123,100,core,60,60,99.31
Wei Lee,408,0,0,0,2040,100,core,61,61,99.3
jlowin,128,133,0,0,1970,100,core,62,62,99.29
mobuchowski,0,109,414,13,1957,100,core,63,63,99.27
dabla,0,130,312,5,1939,100,core,64,64,99.26
GPK,380,0,0,0,1900,100,core,65,65,99.25
vandonr-amz,0,97,408,15,1831,100,core,66,66,99.24
Elad Kalif,366,0,0,0,1830,100,core,67,67,99.23
Maxime,364,0,0,0,1820,100,core,68,68,99.22
Hussein Awala,359,0,0,0,1795,100,core,69,69,99.2
Bowrna,73,93,192,20,1739,100,core,70,70,99.19
raphaelauv,87,114,73,3,1730,100,core,71,71,99.18
phanikumv,0,83,367,28,1648,100,core,72,72,99.17
jhtimmins,4,116,217,0,1614,100,core,73,73,99.16
romsharon98,0,112,174,6,1486,100,core,74,74,99.14
TobKed,46,88,182,0,1474,100,core,75,75,99.13
eumiro,0,134,50,0,1440,100,core,76,76,99.12
Dev-iL,49,60,285,0,1415,100,core,77,77,99.11
Fokko,0,122,94,0,1408,100,core,78,78,99.1
ryanahamilton,0,97,216,1,1405,100,core,79,79,99.09
syedahsn,17,72,242,33,1388,100,core,80,80,99.07
dheerajturaga,0,107,140,0,1350,100,core,81,81,99.06
choo121600,0,112,105,0,1330,100,core,82,82,99.05
MaksYermak,11,98,120,1,1278,100,core,83,83,99.04
shubhamraj-git,0,87,148,0,1166,100,core,84,84,99.03
moiseenkov,0,94,97,6,1152,100,core,85,85,99.02
zhongjiajie,13,69,181,1,1120,100,core,86,86,99.0
jbampton,0,111,4,0,1118,100,core,87,87,98.99
D. Ferruzzi,219,0,0,0,1095,100,core,88,88,98.98
aritra24,0,65,221,0,1092,100,core,89,89,98.97
houqp,0,69,187,0,1064,100,core,90,90,98.96
michalslowikowski00,0,62,214,0,1048,100,core,91,91,98.95
feng-tao,0,102,6,0,1032,100,core,92,92,98.93
sekikn,0,102,3,0,1026,100,core,93,93,98.92
Tomek Urbaszek,201,0,0,0,1005,100,core,94,94,98.91
RNHTTR,0,63,174,3,987,100,core,95,95,98.9
msumit,0,79,90,0,970,100,core,96,96,98.88
Kacper Muda,194,0,0,0,970,100,core,96,96,98.88
subkanthi,0,66,148,0,956,100,core,98,98,98.86
r39132,45,73,0,0,955,100,core,99,99,98.85
SamWheating,0,59,177,0,944,100,core,100,100,98.84
Jeremiah Lowin,188,0,0,0,940,100,core,101,101,98.82
AutomationDev85,48,56,70,0,940,100,core,101,101,98.82
RoyLee1224,0,64,145,0,930,100,core,103,103,98.81
Niko Oliveira,180,0,0,0,900,100,core,104,104,98.79
Bugra Ozturk,176,0,0,0,880,100,core,105,105,98.78
jmcarp,0,86,10,0,880,100,core,105,105,98.78
Aakcht,55,55,27,0,879,100,core,107,107,98.76
rich7420,25,70,19,0,863,100,core,108,108,98.75
Josh Fell,169,0,0,0,845,100,core,109,109,98.73
pingzh,0,65,95,0,840,100,core,110,110,98.72
Prab-27,0,57,132,0,834,100,core,111,111,98.71
yuqian90,31,42,125,0,825,100,core,112,112,98.7
Chris Riccomini,160,0,0,0,800,100,core,113,113,98.69
milton0825,2,73,29,0,798,100,core,114,114,98.67
henry3260,0,69,54,0,798,100,core,114,114,98.67
Karthikeyan Singaravelan,159,0,0,0,795,100,core,116,116,98.65
KoviAnusha,0,58,104,0,788,100,core,117,117,98.64
JDarDagran,11,41,139,14,785,100,core,118,118,98.63
kazanzhy,0,53,121,0,772,100,core,119,119,98.62
Shahar Epstein,149,0,0,0,745,100,core,120,120,98.61
ramitkataria,0,41,164,0,738,100,core,121,121,98.59
chenglongyan,0,71,13,0,736,100,core,122,122,98.58
olegkachur-e,43,47,20,0,725,100,core,123,123,98.57
malthe,0,54,86,0,712,100,core,124,124,98.56
bkossakowska,3,50,87,4,701,100,core,125,125,98.55
xinbinhuang,0,37,163,0,696,100,core,126,126,98.54
Guan Ming(Wesley) Chiu,139,0,0,0,695,100,core,127,127,98.52
aoen,10,59,26,0,692,100,core,128,128,98.51
mhenc,25,33,118,0,691,100,core,129,129,98.5
Arthur Wiedmer,137,0,0,0,685,100,core,130,130,98.49
khalidmammadov,0,58,47,0,674,100,core,131,131,98.48
bdsoha,0,59,41,0,672,100,core,132,132,98.47
Ankit Chaurasia,134,0,0,0,670,100,core,133,133,98.45
jroachgolf84,1,48,88,0,661,100,core,134,134,98.44
chethanuk,0,62,15,0,650,100,core,135,135,98.42
Kalyan R,130,0,0,0,650,100,core,135,135,98.42
saguziel,0,63,8,0,646,100,core,137,137,98.41
tooptoop4,25,42,49,0,643,100,core,138,138,98.4
Gopal Dirisala,127,0,0,0,635,100,core,139,139,98.38
xBis7,0,11,261,0,632,100,active,140,1,98.37
Fokko Driesprong,126,0,0,0,630,100,core,141,140,98.36
Tomek,125,0,0,0,625,100,core,142,141,98.35
Nataneljpwd,11,15,209,0,623,100,core,143,142,98.34
Miroslav Šedivý,121,0,0,0,605,100,core,144,143,98.32
Miretpl,0,41,92,0,594,100,core,145,144,98.31
alexott,0,29,152,0,594,100,core,145,144,98.31
Daniel Imberman,115,0,0,0,575,100,core,147,146,98.28
Adaverse,0,35,108,3,575,100,core,147,146,98.28
kyungjunleeme,0,46,56,0,572,100,core,149,148,98.27
JavierLopezT,20,33,65,0,560,100,core,150,149,98.25
blag,17,26,103,0,551,100,core,151,150,98.24
David Blain,110,0,0,0,550,100,core,152,151,98.23
sjyangkevin,0,28,131,0,542,100,core,153,152,98.22
baolsen,0,33,105,0,540,100,core,154,153,98.21
Siddharth Anand,106,0,0,0,530,100,core,155,154,98.2
ellisms,23,24,60,18,529,100,core,156,155,98.18
LIU ZHE YOU,105,0,0,0,525,100,core,157,156,98.17
xchwan,0,46,27,0,514,100,core,158,157,98.16
kevinhongzl,0,47,19,0,508,100,core,159,158,98.15
nailo2c,0,44,32,0,504,100,core,160,159,98.14
Pankaj Singh,99,0,0,0,495,100,core,161,160,98.13
ghost,0,48,0,0,480,100,core,162,161,98.11
Raphaël Vandon,96,0,0,0,480,100,core,162,161,98.11
bhirsz,0,28,99,0,478,100,core,164,163,98.09
Copilot,0,0,238,0,476,100,observer,165,1,98.08
Utkarsh Sharma,95,0,0,0,475,100,core,166,164,98.07
criccomini,0,47,2,0,474,100,core,167,165,98.06
Kengo Seki,94,0,0,0,470,100,core,168,166,98.04
John Bampton,94,0,0,0,470,100,core,168,166,98.04
ryanyuan,0,43,18,0,466,100,core,170,168,98.02
rom sharon,92,0,0,0,460,100,core,171,169,98.0
Maksim,92,0,0,0,460,100,core,171,169,98.0
ryw,0,44,9,0,458,100,core,173,171,97.98
Crowiant,0,39,34,0,458,100,core,173,171,97.98
dondaum,0,32,58,7,457,100,core,175,173,97.96
vchiapaikeo,0,38,38,0,456,100,core,176,174,97.95
Ryan Hamilton,91,0,0,0,455,100,core,177,175,97.93
lwyszomi,0,34,56,1,455,100,core,177,175,97.93
PApostol,28,29,12,0,454,100,core,179,177,97.91
TJaniF,0,24,102,1,447,100,core,180,178,97.9
max,89,0,0,0,445,100,core,181,179,97.89
Xiaodong,89,0,0,0,445,100,core,181,179,97.89
Xiaodong DENG,87,0,0,0,435,100,core,183,181,97.86
Dheeraj Turaga,87,0,0,0,435,100,core,183,181,97.86
Maciej Obuchowski,86,0,0,0,430,100,core,185,183,97.84
Sumit Maheshwari,86,0,0,0,430,100,core,185,183,97.84
Owen-CH-Leung,0,30,62,1,427,100,core,187,185,97.82
pateash,0,29,68,0,426,100,core,188,186,97.81
Arunodoy18,0,41,6,0,422,100,core,189,187,97.8
vikramkoka,0,28,68,0,416,100,core,190,188,97.79
edithturn,3,31,45,0,415,100,core,191,189,97.77
Yeonguk Choo,83,0,0,0,415,100,core,191,189,97.77
dominikhei,7,32,28,0,411,100,core,193,191,97.75
Shubham Raj,82,0,0,0,410,100,core,194,192,97.74
fritz-astronomer,19,28,17,0,409,100,core,195,193,97.73
jx2lee,0,28,64,0,408,100,core,196,194,97.71
Jorricks,0,24,84,0,408,100,core,196,194,97.71
James Timmins,81,0,0,0,405,100,core,198,196,97.69
majorosdonat,24,26,10,0,400,100,core,199,197,97.67
skudriashev,0,40,0,0,400,100,core,199,197,97.67
steveahnahn,0,35,23,0,396,100,core,201,199,97.66
prabhusneha,0,20,96,0,392,100,core,202,200,97.64
KevinYang21,0,37,11,0,392,100,core,202,200,97.64
blcksrx,0,33,30,0,390,100,core,204,202,97.62
Pankaj Koti,78,0,0,0,390,100,core,204,202,97.62
hankehly,0,19,99,0,388,100,active,206,2,97.6
ahmadtfarhan,0,5,168,0,386,100,active,207,3,97.59
norm,0,25,66,0,382,100,core,208,204,97.57
omkar-foss,0,22,80,0,380,100,core,209,205,97.56
jgao54,2,37,0,0,380,100,core,209,205,97.56
e-galan,0,18,54,30,378,100,active,211,4,97.54
Phani Kumar,74,0,0,0,370,100,core,212,207,97.53
andrewgodwin,0,24,64,0,368,100,core,213,208,97.52
Joshua Carp,73,0,0,0,365,100,core,214,209,97.5
HsiuChuanHsu,0,28,42,0,364,100,core,215,210,97.49
shohamy7,20,22,22,0,364,100,core,215,210,97.49
insomnes,0,31,25,0,360,100,core,217,212,97.46
artwr,0,36,0,0,360,100,core,217,212,97.46
SameerMesiah97,9,18,67,0,359,100,core,219,214,97.45
josix,0,29,34,0,358,100,core,220,215,97.43
Bas Harenslak,71,0,0,0,355,100,core,221,216,97.42
bharanidharan14,1,12,115,0,355,100,active,221,5,97.42
ecodina,18,25,7,0,354,100,core,223,217,97.39
ecerulm,0,27,42,0,354,100,core,223,217,97.39
coopergillan,0,26,44,2,354,100,core,223,217,97.39
nathadfield,1,27,24,10,353,100,core,226,220,97.36
junnplus,0,29,28,0,346,100,core,227,221,97.35
OmairK,0,21,64,0,338,100,core,228,222,97.34
Felix Uellendall,67,0,0,0,335,100,core,229,223,97.33
Acehaidrey,0,27,30,0,330,100,core,230,224,97.32
Rahul Vats,65,0,0,0,325,100,core,231,225,97.3
Sid Anand,65,0,0,0,325,100,core,231,225,97.3
0lai0,0,31,7,0,324,100,core,233,227,97.28
collinmcnulty,0,24,41,0,322,100,core,234,228,97.27
kunaljubce,0,26,30,0,320,100,core,235,229,97.26
Kanthi,63,0,0,0,315,100,core,236,230,97.25
bhavaniravi,0,29,12,0,314,100,core,237,231,97.24
molcay,0,26,26,0,312,100,core,238,232,97.22
yangyulely,15,22,7,0,309,100,core,239,233,97.21
jaketf,0,16,74,0,308,100,active,240,6,97.2
phi-friday,13,15,37,4,301,100,core,241,234,97.19
NielsZeilemaker,0,30,0,0,300,100,core,242,235,97.18
RosterIn,9,13,61,0,297,100,core,243,236,97.16
john-jac,14,17,28,0,296,100,core,244,237,97.15
Dan Davydov,59,0,0,0,295,100,core,245,238,97.14
snjypl,0,27,11,0,292,100,core,246,239,97.12
Jasperora,0,24,26,0,292,100,core,246,239,97.12
sc250072,0,17,56,2,288,100,active,248,7,97.11
Kevin Yang,57,0,0,0,285,100,core,249,241,97.09
"LI,JHE-CHEN",57,0,0,0,285,100,core,249,241,97.09
robinedwards,0,24,22,0,284,100,core,251,243,97.07
perry2of5,14,16,25,0,280,100,core,252,244,97.05
hterik,0,16,60,0,280,100,active,252,8,97.05
Joffreybvn,0,20,37,2,280,100,core,252,244,97.05
cmarteepants,0,26,9,0,278,100,core,255,246,97.02
Aritra Basu,55,0,0,0,275,100,core,256,247,97.0
Chenglong Yan,55,0,0,0,275,100,core,256,247,97.0
Joy Gao,55,0,0,0,275,100,core,256,247,97.0
wolfier,0,22,23,0,266,100,core,259,250,96.97
r-richmond,12,19,8,0,266,100,core,259,250,96.97
Ping Zhang,53,0,0,0,265,100,core,261,252,96.95
karenbraganz,0,21,27,0,264,100,core,262,253,96.94
anitakar,0,15,56,0,262,100,active,263,9,96.93
Sam Wheating,52,0,0,0,260,100,core,264,254,96.92
m1racoli,0,16,39,7,259,100,active,265,10,96.91
aneesh-joseph,0,14,56,0,252,100,active,266,11,96.9
ffinfo,0,25,0,0,250,100,core,267,255,96.86
wjddn279,0,21,20,0,250,100,core,267,255,96.86
pgagnon,0,20,25,0,250,100,core,267,255,96.86
casassg,0,4,105,0,250,100,contributor,267,1,96.86
drdenzy,0,21,20,0,250,100,core,267,255,96.86
tatiana,0,10,69,3,247,100,active,272,12,96.83
mingdaoy,16,16,3,0,246,100,core,273,259,96.81
Dov Benyomin Sohacheski,49,0,0,0,245,100,core,274,260,96.8
howardyoo,0,10,72,0,244,100,active,275,13,96.78
prdai,0,11,67,0,244,100,active,275,13,96.78
kosteev,0,10,72,0,244,100,active,275,13,96.78
dolfinus,0,20,20,0,240,100,core,278,261,96.75
boraberke,0,21,11,0,232,100,core,279,262,96.74
dhuang,0,22,6,0,232,100,core,279,262,96.74
Chao-Han Tsai,46,0,0,0,230,100,core,281,264,96.7
Jiajie Zhong,46,0,0,0,230,100,core,281,264,96.7
Dmytro Kazanzhy,46,0,0,0,230,100,core,281,264,96.7
chethanuk-plutoflume,46,0,0,0,230,100,core,281,264,96.7
Alex Guziel,46,0,0,0,230,100,core,281,264,96.7
rootcss,0,17,28,0,226,100,active,286,16,96.66
kandharvishnu,9,16,10,0,225,100,core,287,269,96.65
wojsamjan,0,20,11,0,222,100,core,288,270,96.63
github-advanced-security[bot],0,0,111,0,222,100,observer,288,2,96.63
seanghaeli,0,18,21,0,222,100,active,288,17,96.63
QP Hou,44,0,0,0,220,100,core,291,271,96.59
ldct,0,22,0,0,220,100,core,291,271,96.59
Khalid Mammadov,44,0,0,0,220,100,core,291,271,96.59
Ryan Hatter,43,0,0,0,215,100,core,294,274,96.55
Malthe Borch,43,0,0,0,215,100,core,294,274,96.55
Tao Feng,43,0,0,0,215,100,core,294,274,96.55
Zhen-Lun (Kevin) Hong,43,0,0,0,215,100,core,294,274,96.55
justinpakzad,0,18,17,0,214,100,active,298,18,96.52
tanelk,0,15,31,0,212,100,active,299,19,96.5
mariotaddeucci,0,18,16,0,212,100,active,299,19,96.5
Michał Słowikowski,42,0,0,0,210,100,core,301,278,96.47
wrp,0,21,0,0,210,100,core,301,278,96.47
alexvanboxel,0,21,0,0,210,100,core,301,278,96.47
tedmiston,0,21,0,0,210,100,core,301,278,96.47
pawelgrochowicz,12,13,9,0,208,100,core,305,282,96.44
zachliu,0,15,27,0,204,100,active,306,21,96.42
seelmann,0,20,2,0,204,100,core,306,283,96.42
VBhojawala,0,16,22,0,204,100,active,306,21,96.42
Swalloow,4,15,16,0,202,100,active,309,23,96.39
davlum,5,11,33,0,201,100,active,310,24,96.38
Anusha Kovi,40,0,0,0,200,100,core,311,284,96.33
Ramit Kataria,40,0,0,0,200,100,core,311,284,96.33
ambika-garg,2,12,35,0,200,100,active,311,25,96.33
Henry Chen,40,0,0,0,200,100,core,311,284,96.33
gwax,0,20,0,0,200,100,core,311,284,96.33
astahlman,0,20,0,0,200,100,core,311,284,96.33
abridgett,0,20,0,0,200,100,core,311,284,96.33
leahecole,0,16,19,0,198,100,active,318,26,96.29
OmerJog,10,12,13,0,196,100,core,319,290,96.27
harishkrao,0,6,68,0,196,100,active,319,27,96.27
Beata Kossakowska,39,0,0,0,195,100,core,321,291,96.25
marcosmarxm,0,7,62,0,194,100,active,322,28,96.21
vemikhaylov,0,14,27,0,194,100,active,322,28,96.21
alexkruc,0,11,42,0,194,100,active,322,28,96.21
frankcash,0,16,17,0,194,100,active,322,28,96.21
mlgruby,0,15,22,0,194,100,active,322,28,96.21
michaelmicheal,0,16,17,0,194,100,active,322,28,96.21
zach-overflow,0,11,41,0,192,100,active,328,34,96.16
karunpoudel,10,12,11,0,192,100,core,328,292,96.16
avkirilishin,0,17,6,3,191,100,active,330,35,96.14
uzhastik,11,11,13,0,191,100,core,330,293,96.14
mustafagok,0,12,35,0,190,100,active,332,36,96.08
fenglu-db,0,19,0,0,190,100,active,332,36,96.08
fredthomsen,0,16,15,0,190,100,active,332,36,96.08
Pratiksha,38,0,0,0,190,100,core,332,294,96.08
Tao feng,38,0,0,0,190,100,core,332,294,96.08
gtoonstra,16,11,0,0,190,100,core,332,294,96.08
ishiis,10,11,15,0,190,100,core,332,294,96.08
